Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
1,Novak Djokovic [SRB],108,96-12,88.90%,68.30%,67.80%,725,8.60%,285,3.40%,9.60%,64.60%,76.20%,53.70%,59.40%,87.00%,6.1,1.9,43.10%,44.30%,7.60%,3.90%,35.10%,56.10%,33.50%,6.8,2.9,30,49.6,44.20%,448,1014,0.76,3.3,9.4,1.47,4.1,67.30%,368,547,0.4,1.8,5.1,0.59,1.7,1.36,17486,55.20%,41,27-14,65.90%,13.40%,305,241-64,79.00%,2713,1644-1069,60.60%,2:01,42.9,44.9
2,Daniil Medvedev [RUS],113,90-23,79.60%,68.70%,67.30%,1016,12.60%,326,4.00%,10.60%,61.80%,78.30%,53.10%,59.40%,86.80%,5.9,1.9,41.10%,41.20%,5.20%,3.40%,32.60%,56.10%,30.00%,6.5,2.7,35,56.2,45.10%,408,904,0.67,3,8,1.36,3.6,62.20%,296,476,0.35,1.6,4.2,0.6,1.6,1.31,16915,54.20%,34,18-16,52.90%,11.40%,299,218-81,72.90%,2720,1589-1131,58.40%,1:44,39.3,41.7
3,Alexander Zverev [GER],112,86-26,76.80%,68.10%,67.80%,1123,13.00%,489,5.60%,17.50%,67.80%,77.20%,49.00%,59.40%,84.80%,6,1.9,39.40%,39.60%,5.80%,3.30%,31.90%,52.40%,27.30%,6.6,2.6,39,52.8,42.30%,395,933,0.64,3,8.3,1.26,3.5,60.50%,335,554,0.38,1.8,4.9,0.7,2,1.23,18196,53.10%,54,34-20,63.00%,17.30%,313,224-89,71.60%,2890,1618-1272,56.00%,1:57,41.8,43.1
4,Rafael Nadal [ESP],63,51-12,81.00%,67.40%,67.60%,273,5.60%,145,3.00%,8.30%,64.10%,73.70%,56.00%,61.00%,85.60%,6.1,2,43.00%,44.10%,7.20%,3.60%,34.70%,57.00%,34.90%,6.4,2.8,26,46.5,46.70%,267,572,0.75,3.4,9.1,1.59,4.2,66.60%,227,341,0.43,2,5.4,0.68,1.8,1.32,9790,55.10%,22,11-Nov,50.00%,13.10%,168,129-39,76.80%,1557,946-611,60.80%,2:09,48.5,50
5,Stefanos Tsitsipas [GRE],116,83-33,71.60%,69.10%,68.10%,781,8.90%,241,2.70%,7.50%,63.60%,76.10%,56.80%,61.50%,87.80%,6,1.9,38.10%,38.30%,6.20%,3.40%,30.70%,50.90%,24.00%,6.5,2.5,33,54.5,41.30%,340,823,0.58,2.7,7.1,1.1,2.9,64.40%,322,500,0.34,1.6,4.3,0.58,1.5,1.23,17997,53.20%,54,29-25,53.70%,17.50%,309,208-101,67.30%,2877,1621-1256,56.30%,1:54,42.7,44
6,Matteo Berrettini [ITA],67,49-18,73.10%,70.30%,67.40%,759,13.30%,119,2.10%,5.70%,63.50%,79.70%,54.00%,57.30%,90.20%,6.1,1.8,36.10%,36.00%,6.00%,3.50%,29.60%,47.10%,20.20%,6.4,2.3,49,69,38.20%,189,495,0.53,2.6,7.4,0.99,2.8,71.20%,227,319,0.34,1.7,4.8,0.48,1.4,1.22,11685,52.80%,40,24-16,60.00%,21.10%,190,130-60,68.40%,1873,1036-837,55.30%,2:05,44.1,43
7,Casper Ruud [NOR],108,78-30,72.20%,66.90%,66.40%,505,6.50%,197,2.50%,7.20%,65.10%,72.60%,56.20%,60.60%,84.90%,6.1,2,38.70%,39.30%,7.40%,3.70%,29.90%,53.00%,26.10%,6.4,2.5,47,73.7,41.80%,326,779,0.62,2.9,7.2,1.21,3,61.80%,314,508,0.4,1.9,4.7,0.72,1.8,1.17,15861,52.60%,35,17-18,48.60%,13.00%,270,177-93,65.60%,2534,1416-1118,55.90%,1:48,43.1,44
8,Andrey Rublev [RUS],126,93-33,73.80%,67.90%,65.90%,973,10.40%,219,2.30%,5.90%,60.40%,77.80%,52.70%,56.00%,86.00%,6,1.9,39.80%,41.30%,9.40%,4.10%,31.10%,53.40%,26.50%,6.6,2.6,44.5,55.9,43.10%,409,949,0.62,2.9,7.5,1.26,3.2,64.40%,392,609,0.39,1.9,4.8,0.67,1.7,1.24,19527,53.30%,53,28-25,52.80%,16.40%,324,222-102,68.50%,3094,1745-1349,56.40%,1:44,40.3,40.1
9,Carlos Alcaraz [ESP],52,33-19,63.50%,62.50%,62.80%,163,3.90%,120,2.90%,7.80%,62.80%,68.00%,53.00%,57.50%,76.00%,6.4,2.4,40.80%,40.60%,4.90%,3.70%,33.30%,52.60%,30.20%,6.5,2.7,65,74,42.50%,197,464,0.71,3.3,8.9,1.39,3.8,60.20%,234,389,0.6,2.7,7.5,1.09,3,1.09,8407,51.40%,30,19-Nov,63.30%,21.10%,142,84-58,59.20%,1298,688-610,53.00%,2:00,44,44.6
10,Felix Auger Aliassime [CAN],103,61-42,59.20%,66.60%,66.20%,913,11.80%,425,5.50%,14.90%,63.20%,76.00%,50.30%,59.10%,83.40%,6.1,2,36.50%,36.30%,5.20%,3.30%,29.70%,47.80%,20.30%,6.5,2.4,54,62.7,36.70%,254,692,0.55,2.7,6.7,0.97,2.5,62.30%,349,560,0.44,2.1,5.4,0.81,2,1.09,15827,51.30%,50,29-21,58.00%,19.20%,261,147-114,56.30%,2519,1312-1207,52.10%,1:57,46.1,45.6
11,Cameron Norrie [GBR],104,65-39,62.50%,63.30%,63.50%,516,6.50%,316,4.00%,11.80%,66.20%,70.00%,50.20%,57.00%,79.30%,6.2,2.3,39.50%,40.60%,7.60%,3.40%,31.60%,52.20%,27.40%,6.4,2.5,51,87.3,44.00%,345,784,0.62,2.9,7.5,1.29,3.3,60.30%,399,662,0.52,2.5,6.4,0.99,2.5,1.08,15976,51.30%,27,Dec-15,44.40%,10.10%,267,155-112,58.10%,2527,1350-1177,53.40%,1:50,43,43.1
12,Jannik Sinner [ITA],102,68-34,66.70%,63.90%,63.60%,429,5.30%,208,2.60%,6.50%,60.20%,71.10%,52.80%,56.50%,80.50%,6.5,2.3,40.10%,40.50%,6.20%,3.50%,32.30%,52.30%,27.30%,6.6,2.6,45.5,66.6,45.90%,338,736,0.6,2.9,7.2,1.32,3.3,65.20%,454,696,0.56,2.7,6.8,0.94,2.4,1.11,16151,51.90%,48,28-20,58.30%,18.70%,257,162-95,63.00%,2478,1338-1140,54.00%,1:56,46.1,44
13,Taylor Fritz [USA],85,48-37,56.50%,66.00%,63.70%,872,12.00%,235,3.20%,8.00%,59.50%,76.10%,51.20%,55.70%,82.80%,6.3,2.1,36.00%,36.70%,9.00%,4.00%,27.20%,50.40%,20.10%,6.4,2.3,52,65.3,36.20%,229,632,0.55,2.7,7.4,0.99,2.7,62.30%,327,525,0.46,2.3,6.2,0.86,2.3,1.06,14547,50.90%,51,25-26,49.00%,22.10%,231,126-105,54.50%,2291,1183-1108,51.60%,1:56,42.8,40.7
14,Hubert Hurkacz [POL],87,51-36,58.60%,65.70%,63.40%,797,11.40%,205,2.90%,7.80%,62.20%,74.90%,50.60%,54.90%,83.20%,6.2,2.1,36.40%,36.40%,6.70%,3.80%,28.10%,49.60%,20.50%,6.4,2.3,52.5,82,37.60%,225,599,0.55,2.6,6.9,0.98,2.6,61.60%,301,489,0.44,2.1,5.6,0.82,2.2,1.06,14045,51.00%,45,26-19,57.80%,19.70%,229,134-95,58.50%,2214,1156-1058,52.20%,1:51,42,41.1
15,Diego Schwartzman [ARG],100,63-37,63.00%,60.60%,62.20%,142,1.80%,281,3.70%,9.90%,63.20%,66.70%,50.20%,55.70%,74.00%,6.4,2.5,43.10%,43.80%,6.50%,3.90%,35.30%,55.70%,34.70%,6.6,2.8,47.5,80.9,46.30%,415,896,0.75,3.4,9,1.57,4.2,57.70%,426,738,0.62,2.8,7.4,1.18,3.1,1.09,15549,51.80%,26,17-Sept,65.40%,9.80%,264,162-102,61.40%,2394,1301-1093,54.30%,0.083333333,45.3,46.2
